Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
Трифон,Гастропаб,,,"Московская улица, 33а","[' 12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-03:00', '  12:00-03:00', '  12:00-01:00']",88332220010,http://trifonbar.ru,https://i3.photo.2gis.com/images/branch/0/30258560060490917_6f62_300x300.jpg,70000001043988868,58.603719,49.670795
Академия Хинкали на Казанской,Кафе,Грузинская кухня ,Средний чек 550 ₽,"Казанская улица, 77Б","[' 09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-24:00', '  09:00-24:00', '  09:00-23:00']",88332454588,http://akk43.ru,https://i5.photo.2gis.com/images/branch/0/30258560096250407_4cc3_300x300.jpg,70000001037593401,58.603008,49.683893
Чайхана 84/46,Рестораны,Грузинская кухня Восточная кухня Европейская кухня ,Средний чек 1000 ₽,"улица Карла Маркса, 84а","[' 11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-01:00', '  11:00-01:00', '  11:00-24:00']",88332418446,http://chayhana-kirov.ru,https://i4.photo.2gis.com/images/branch/0/30258560098447968_0d73_300x300.jpg,70000001037822562,58.600078,49.668645
Сакварели,Кафе,Грузинская кухня Европейская кухня ,Средний чек 700 ₽,"улица Герцена, 88а","[' 11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-01:00', '  11:00-01:00', '  11:00-24:00']",88332220910,,https://i6.photo.2gis.com/images/branch/0/30258560088739102_6735_300x300.jpg,70000001006739141,58.599175,49.64412
Сыто-Пряно,Винный бар,Европейская кухня ,Средний чек 600 ₽,"Спасская улица, 8","[' 08:30-23:00', '  08:30-23:00', '  08:30-23:00', '  08:30-23:00', '  08:30-24:00', '  10:00-24:00', '  10:00-23:00']",88332221223,http://fulldrunk.ru,https://i0.photo.2gis.com/images/branch/0/30258560067696435_0c6b_300x300.jpg,70000001039323576,58.602055,49.680427
Яйцо,Кафе,,Средний чек 600 ₽,"улица Воровского, 10","[' 08:00-20:00', '  08:00-20:00', '  08:00-20:00', '  08:00-20:00', '  08:00-20:00', '  08:00-20:00', '  08:00-20:00']",88332754324,,https://i3.photo.2gis.com/images/branch/0/30258560096250865_05db_300x300.jpg,70000001066080631,58.593903,49.679244
CubbyBar,Кафе,Итальянская кухня Китайская кухня Вьетнамская кухня Корейская кухня Азиатская кухня Японская кухня Паназиатская кухня Тайская кухня Европейская кухня Американская кухня Авторская кухня ,Средний чек 1000 ₽,"Орловская улица, 13","[' 12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-02:00', '  12:00-02:00', '  12:00-01:00']",88332433500,http://cubbybar.ru,https://i1.photo.2gis.com/images/branch/0/30258560094829781_03e0_300x300.jpg,70000001041805975,58.59641,49.685354
Вятка,Гостиница,,,"Октябрьский проспект, 145","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00 (тренажерный зал: пн-вс 6:00-22:00)']",88005504503,http://vyatkahotel.ru,https://i9.photo.2gis.com/images/branch/58/8162774333205286_4c5f_300x300.jpg,8163302605627510,58.591096,49.657091
Шалом Берман,Бистро,,,"улица Горбачёва, 24","[' 15:00-23:00', '  15:00-23:00', '  15:00-23:00', '  15:00-24:00', '  15:00-24:00', '  15:00-24:00', '  15:00-23:00']",89229408124,,https://i0.photo.2gis.com/images/branch/0/30258560100624233_5b07_300x300.jpg,70000001067049537,58.599407,49.681033
Panorama,Лаундж-бар,Итальянская кухня Европейская кухня Американская кухня ,Средний чек 1000 ₽,"Профсоюзная улица, 1","[' 12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00']",88332332020 (служба бронирования столов),http://panoramakirov.ru,https://i3.photo.2gis.com/images/branch/0/30258560089081994_a38d_300x300.jpg,70000001024629110,58.615846,49.684314
Самое Популярное Кафе Восток,Кафе,Узбекская кухня Русская кухня Европейская кухня ,Средний чек 700 ₽,"улица Свободы, 11","[' 12:00-03:00', '  12:00-03:00', '  12:00-03:00', '  12:00-03:00', '  12:00-06:00', '  12:00-06:00', '  12:00-03:00']",88007000025 (единая справочная: круглосуточно),http://spkcafe.ru,https://i5.photo.2gis.com/images/branch/58/8162774356754986_be9c_300x300.jpg,8163302605592639,58.61466,49.675502
Пивной дворик,Трактир,Кавказская кухня Европейская кухня Американская кухня ,Средний чек 1000 ₽,"Спасская улица, 41","[' 11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-02:00', '  11:00-02:00', '  11:00-24:00']",88332647000,http://pivnoydvorik.ru,https://i5.photo.2gis.com/images/branch/0/30258560098925805_3f89_300x300.jpg,8163302605591288,58.602126,49.673925
Колесо на Спасской,Трактир,Русская кухня Европейская кухня ,Средний чек 700 ₽,"Спасская улица, 18","[' 11:30-23:00', '  11:30-23:00', '  11:30-23:00', '  11:30-23:00', '  11:30-24:00', '  12:00-24:00', '  12:00-23:00']",88332321203,http://m-kyhnia.ru/koleso/spasskaya,https://i7.photo.2gis.com/images/branch/0/30258560101543925_b44f_300x300.jpg,8163302605590301,58.601929,49.67487
Кухня,Семейное кафе,Итальянская кухня Кавказская кухня Русская кухня ,Средний чек 500 ₽,"улица Молодой Гвардии, 96","[' 11:00-22:00', '  11:00-22:00', '  11:00-22:00', '  11:00-22:00', '  11:00-23:00', '  11:00-23:00', '  11:00-22:00']",88332225544,,https://i8.photo.2gis.com/images/branch/0/30258560091786333_5a67_300x300.jpg,70000001007429479,58.597382,49.646583
Мангал,Кафе,Грузинская кухня Кавказская кухня Армянская кухня ,,"улица Романа Ердякова, 14а","[' 09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00']",88332222235,http://shashlyk-mangal.ru/kirov,https://i4.photo.2gis.com/images/branch/0/30258560101336791_fa6e_300x300.jpg,70000001037507588,58.607867,49.636411
Грандъ Буфетъ,Кафе,Японская кухня Русская кухня Европейская кухня ,Средний чек 700 ₽,"улица Воровского, 21а","[' 12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-24:00', '  12:00-24:00', '  12:00-23:00 (служба доставки: пн-вс 10:00-00:00)']",88332222662,http://grandbufet.ru,https://i0.photo.2gis.com/images/branch/0/30258560096797250_b602_300x300.jpg,8163302605673736,58.594104,49.674751
